No;Brand;Nama;CPU;GPU;RAM;Storage;Layar;Sound;Baterai;Bobot;Bahan;Bundle;Harga;Image1;Image2;Image 3;Image4;Tokped;Shopee
24;Axioo;Hype 5 AMD JKT48 X3 Lollipop;AMD Ryzen 5 3500U;AMD Radeon Vega 8;8GB DDR4 Onboard (1 Slot SODIMM);256GB M.2 NVMe Gen 3x2 (Upgradeable) ;"14"" FHD (1920 x 1080), Panel IPS";Stereo;45.6Wh;1.40 kg;Polikarbonat;Windows 11 Home;Rp 4.700.000 - 5.100.000;24a.jpeg;24b.jpeg;24c.jpeg;24d.jpeg;https://tk.tokopedia.com/ZSPdb1NyL/;https://id.shp.ee/xaDFuVr
25;Asus;ExpertBook P1 (P1412);Intel Core i3-1115G4 / i5-1135G7;Intel UHD Graphics (i3) / Intel Iris Xe (i5);8GB DDR4 3200MHz (Single/Dual Channel, Upgradeable, 1 Slot SODIMM);"256GB/512GB M.2 NVMe PCIe 3.0 SSD (Upgradeable, 1 Slot M.2 + 1 Slot SATA 2.5"" HDD expansion)";"14"" FHD (1920 x 1080), 60Hz, TN/IPS Level, Anti-glare";SonicMaster;37Wh atau 42Wh, 45W Adapter;1.50 kg;Plastik Polikarbonat;Windows 11 Home;Rp 6.600.000 - 9.000.000;25a.jpeg;25b.jpeg;25c.jpeg;25d.jpeg;https://tk.tokopedia.com/ZSPdgjvbg/;https://id.shp.ee/KksJd8c
26;Lenovo;IdeaPad Slim 3i Gen 9 (14IRU9);Intel Core 3 100U;Intel Graphics;8GB LPDDR5x 5200MHz (Onboard, Dual Channel, Tidak Upgradeable);512GB M.2 NVMe PCIe 4.0 SSD (Upgradeable, 1 Slot M.2 2242);"14"" FHD (1920x1080), 60Hz, IPS, 300nits, Anti-glare";Stereo Speakers 1.5W x2, Dolby Audio;47Wh, 65W Round Tip;1.37 kg;PC-ABS;Windows 11 Home + OHS 2021;Rp 6.800.000 - 7.000.000;26a.jpeg;26b.jpeg;26c.jpeg;26d.jpeg;https://tk.tokopedia.com/ZSPdt8aNj/;https://id.shp.ee/cxCQPk2
27;MSI;Thin 15 B12UCX;Intel Core i5-12450H;NVIDIA GeForce RTX 2050/RTX 3050 4GB GDDR6;8GB/16GB DDR4 3200MHz (Single Channel default, Upgradeable, 2 Slot SODIMM);"512GB NVMe PCIe Gen4 SSD (Upgradeable, 1 Slot M.2 + 1 Slot 2.5"" SATA HDD)";"15.6"" FHD (1920x1080), 144Hz, IPS-Level Panel";2x 2W Speaker, Hi-Res Audio;52.4Wh, 120W Adapter;1.86 kg;Aluminium dan Plastik;Windows 11 Home;Rp 9.500.000 - 10.500.000;27a.jpeg;27b.jpeg;27c.jpeg;27d.jpeg;https://tk.tokopedia.com/ZSPdtoD31/;https://id.shp.ee/wfYLsy3
28;Acer ;Nitro V 15 (ANV15-41); AMD Ryzen 5 6600H;NVIDIA GeForce RTX 2050 4GB GDDR6;8GB DDR5 4800MHz (Single Channel default, Upgradeable, 2 Slot SODIMM);512GB PCIe Gen4 NVMe (Upgradeable, 1 Slot tersedia);"15.6"" FHD (1920 x 1080), 165Hz, IPS, 45% NTSC";DTS:X Ultra Audio;57Wh, 135W Adapter;2.10 kg;Plastik Polikarbonat;Windows 11 Home + OHS 2021;Rp 9.900.000 - 10.500.000;28a.jpeg;28b.jpeg;28c.jpeg;28d.jpeg;https://tk.tokopedia.com/ZSPdWN43s/;https://id.shp.ee/5ja3e95
29;Lenovo;"LOQ 15IAX9 ""Essential""";Intel Core i5-12450HX;NVIDIA GeForce RTX 3050 6GB GDDR6;12GB DDR5 4800MHz (Upgradeable, 2 Slot SODIMM);512GB M.2 NVMe PCIe 4.0 (Upgradeable, 2 Slot M.2);"15.6"" FHD (1920x1080), 144Hz, IPS, 100% sRGB";Nahimic Audio;60Wh, 135W/170W Slim Tip;2.38 kg;Plastik Polikarbonat;Windows 11 Home + OHS 2021;Rp 10.500.000 - 11.500.000;29a.jpeg;29b.jpeg;29c.jpeg;29d.jpeg;https://tk.tokopedia.com/ZSPd754Me/;https://id.shp.ee/xrgaJWJ
30;Advan;Workplus Ryzen 7;AMD Ryzen 7 7735HS;AMD Radeon 680M ;16GB LPDDR5 6400MHz (Dual Channel, Soldered, Tidak Upgradeable);512GB SSD NVMe PCIe 4.0 (Upgradeable, 2 Slot M.2);"14"" WUXGA (1920 x 1200), 60Hz, IPS, 16:10";Stereo Speakers;60Wh - 65Wh, Charge 100W Type-C;1.40 kg;Metal dan Plastik;Windows 11 Home;Rp 8.400.000 - 8.700.000;30a.jpeg;30b.jpeg;30c.jpeg;30d.jpeg;https://tk.tokopedia.com/ZSPdcNfq6/;https://id.shp.ee/NRcKVhV
31;Asus;Vivobook 16X (K3605VC);Intel Core i5-13420H;NVIDIA GeForce RTX 3050 4GB GDDR6;16GB DDR4 3200MHz (8GB Onboard + 8GB SODIMM, Upgradeable, 1 Slot);512GB M.2 NVMe PCIe 4.0 SSD (Upgradeable, +1 Slot M.2);"16"" WUXGA (1920 x 1200), 144Hz, IPS-Level, 100% sRGB";SonicMaster, Dirac;50Wh / 70Wh, 120W Adapter;1.80 kg;Aluminium dan Plastik ;Windows 11 Home + OHS 2021;Rp 10.500.000 - 10.600.000;31a.jpeg;31b.jpeg;31c.jpeg;31d.jpeg;https://tk.tokopedia.com/ZSPdcHdU8/;https://id.shp.ee/n1g2UDj
32;Advan;Workplus x Darbotz Edition;AMD Ryzen 7 7735HS;AMD Radeon 680M ;16GB LPDDR5 6400MHz (Dual Channel, Soldered, Tidak Upgradeable);512GB SSD NVMe PCIe 3.0 (Upgradeable, 2 Slot M.2);"14"" WUXGA (1920 x 1200), 60Hz, IPS, 16:10";Stereo Speakers;58Wh, Charge via Type-C 100W;1.40 kg;Metal dan Aluminium Alloy;Windows 11 Home;Rp 8.000.000 - 8.500.000;32a.jpeg;32b.jpeg;32c.jpeg;32d.jpeg;https://tk.tokopedia.com/ZSPd3rMLj/;https://id.shp.ee/WDJDEut
33;MSI;Thin 15 RTX 2050 B13UCX;Intel Core i5-13420H;NVIDIA GeForce RTX 2050 4GB GDDR6;8GB DDR4 3200MHz (Upgradeable, 2 Slot);512GB NVMe PCIe Gen4 (Upgradeable);"15.6"" FHD (1920 x 1080), 144Hz, IPS-Level";Hi-Res Audio;52.4Wh;1.86 kg;Plastik dan Metal ;Windows 11 Home + OHS;Rp 11.000.000 - 12.000.000;33a.jpeg;33b.jpeg;33c.jpeg;33d.jpeg;https://tk.tokopedia.com/ZSPdTJsuT/;https://id.shp.ee/eRLZoD5
